60.0053,39.998,60,40
61.149,40.0078,61.4298,39.9946
62.554,40.0056,62.8526,39.993
63.9786,39.9974,64.2873,39.9907
65.3986,39.9938,65.7063,39.9923
66.8239,40.002,67.1275,40.0002
68.2331,39.9994,68.5051,39.9946
69.6531,39.9991,69.893,39.994
71.0564,39.9999,71.3001,39.9912
72.4758,39.9957,72.7324,39.9875
73.8937,40.0024,74.1031,39.9816
75.3185,40.009,75.4757,39.9783
76.7398,40.0082,76.8504,39.9751
78.1533,40.0054,78.2107,39.959
79.5797,39.9996,79.5069,39.954
80.9818,40.0061,80.8366,39.9547
82.4113,39.9993,82.1998,39.9615
83.8197,40.0049,83.5887,39.962
85.2334,39.993,85.0038,39.9615
86.6619,40.0077,86.4755,39.9578
87.2045,38.6437,86.505,38.568
86.6559,36.9108,86.5077,37.1536
87.1662,36.0196,86.531,35.7412
86.9746,34.5967,86.608,34.3161
86.9317,33.182,86.7368,32.8972
86.9327,31.7757,86.7465,31.4354
86.9358,30.3563,86.7259,30.0164
86.9346,28.9398,86.6986,28.5989
86.9295,27.5164,86.6772,27.1948
86.9231,26.0967,86.6434,25.7761
86.9339,24.6922,86.6585,24.3754
86.9266,23.2589,86.6737,22.9496
86.9352,21.848,86.6625,21.5551
86.9379,20.4278,86.6406,20.1299
86.9324,19.0221,86.6614,18.7331
86.9272,17.5985,86.6528,17.3363
86.9355,16.1689,86.6551,15.9356
86.9269,14.7601,86.6545,14.5371
86.9369,13.339,86.6743,13.1368
88.1539,12.8039,88.0315,13.1312
89.8126,13.3427,89.4204,13.3278
90.903,12.8436,90.8393,13.2645
92.3376,13.0418,92.2602,13.2374
93.7517,13.0639,93.6438,13.1729
95.1662,13.0691,94.9822,13.1091
96.5742,13.0739,96.2708,13.0761
97.9951,13.0661,97.5798,13.0347
99.4041,13.067,98.9207,13.0064
100.838,13.0671,100.45,12.9764
102.248,13.0816,101.954,12.9574
103.658,13.0769,103.378,12.9564
105.075,13.0685,104.733,12.9543
106.494,13.0703,106.043,12.9444
107.909,13.0739,107.401,12.9672
109.334,13.0691,108.746,12.9501
